location,product,tender_number,tender_name,tender_company,quantity,description,requirements,stages,delivery_time,start_date,end_date,product_cluster,location_cluster,detailed_cluster
"Немонгольский автономный район, УНИТА, правый флаг Корнея",трансформатор камеры УНИТА,CGN-202210310005,,Новых энергетик,,Закупка трансформатора камеры УНИТА была осуществлена в Китае.,"Закупочная сторона представила 3 группы трансформаторов и запасные части для запасных частей (2 группы для подъемных станций на ветряной площадке C, 1 группа для подъемных станций на ветряной площадке D и 2 станции для запасных частей).
(для использования).
Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",2,10.06.2023,,,0,27,0
"префектура Аньхой, муниципалитет Тяньаньмэнь",башен для проекта по созданию новой энергетической башни в городе Лю Цзицзюнь (CGN),20230105001,,,,"Проект электрической фермы Лю Чжунцзяна в префектуре Чжунцзяна, провинции Энго, находится на территории префектуры Си-цзы, Лю Цзиньцзяня, Чжунцзяна и Уйяна.
63,9 км на северо-западе от города Себу, примерно 41,2 км на юго-западе и приблизительно 72,3 км на юго-востоке от города Миньмин, на северо-востоке от города Сюань.
103.0km с площадью около 60km2. 100 МВт для планирования ветроэнергетики, одно сооружение и установка 16 одновременных ветровых электростанций мощностью 6,25 МВт
Автоматизированная мощность - 100 МВт. В рамках этого проекта на 220-кВ-линии Лю был добавлен основной вариант 200 MVA (сбалансирован с проектом ветроэнергетики)
и 35kV-двухвекторной линии, в рамках проекта будет расширена 35kV-диапазон I с помощью 35kV-электрической линии.","32 ветряных генератора с башними башнями, включая бетонные башни и стальные башни, а также их антикоррозионное содержание «китайское ядро»
logo и т.д.",2,120,15.04.2023,20.08.2023,1,25,0
провинция Чжэцзян,лифт и монтаж лифта,CGN-202303160016,,,,"Общая информация о проекте &lt; &lt; Сянцзян-3 &gt; &gt; , связанный с проектом &lt; &lt; Атомный парк &gt; &gt; , который охватывает площадь около 10,246 га, строительство
Общая площадь составляет около 175 000 м2, в том числе 121 000 м2 на земле, 54 000 м2 на подземном участке, высота здания.
не более 55 м. В основном под башне 1#-9#, 1-этажное платье (включая ресторанную кухню и т.д.), 11-й этаж / 12 #-й этаж (внутренние мероприятия).
Сердце), подвалы, террасы, мосты, спортивные площадки и т.д.","1 #-9 # Башня, 1 # юбка, 12#-этажное 39 вертикальных лифтов для проектирования, упаковки, изготовления и транспортировки (включая сборку)
Разгрузка), складское хранение, интерьер, установка и отгрузка экспериментальных приемов, техническое обслуживание и техническое обслуживание в течение срока гарантии, подготовка кадров и другие соответствующие услуги. Конкретный прием
Рамки и требования устанавливаются в тендерной документации.",,,01.01.2024,,0,16,0
Гуандун,Проект LOT12D (Воздушный комплекс CI-BOP и вспомогательные устройства),CGN-20221107005,,,,"данный тендер не делится на сегменты, которые будут включать комбинацию CI-BOP и различные типы воздушных судов
Оборудование для отопления.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,2024-4-30,,,1,2,1
"город Тханьшань, Нинде, провинция Фуцзянь",комплексная системы подготовки кадров в здании JH в Нинде,202205120001-N1,2-й тендер на проект строительства интегрированной системы профессиональной подготовки в здании JH в Нинде,Фуцзиненд Ltd.,,"Проект был осуществлен в деревне Тхэ-Бэйн, муниципалитет Фукуяма, провинция Фуцзянь (район АЭС &lt; &lt; Нинде &gt; &gt; ).
На первом этаже здания JH находится учебный зал площадью 16 м*16,8 м и высотой 8,4 м (размеры с стеной). Географическое деление
Для: зона системного оборудования, центральная узла управления (отдельный дизайн, прозрачное стекло, окно обмена), зона подготовки инструментов, учебные дискуссии
Зона, зона действия кратеров (1,8 м*2,0 м*2,0м).","Номинация проектно-строительной документации по проекту строительства комплексной системы профессиональной подготовки на базе здания JH в Нинде, перечень работ, чертежи
Подготовка протоколов и чертежей, уведомление о внесении изменений в проект, тендерная документация, документы о прояснении проекта и резюме предложений, технические требования, стандарты,
Все элементы, содержащиеся в спецификациях и т.д., относятся к сфере охвата настоящего проекта, а также к закупкам, монтажу и техническому обслуживанию по строительным источникам энергии, а также к страхованию всех готовых изделий в регионе.","Второй этап разработки системы управления, разработка интерфейса, комплексное отладка системы, оригинальные объекты, здания, стены, демонтаж и восстановление
(Процесс строительства, если таковой имеется). Закупка строительного трансформатора (при необходимости), установка и техническое обслуживание, подземная труба вокруг здания и близость
здания, сооружения, консервации старых деревьев и т.д.",300,01.01.2023,30.10.2023,2,12,1
Гуандун,атомная нержавеющая стальная труба малого калибра,CGN-20230407003,,Чайна Хинон инжиниринг лимитед,,"в данном тендерном проекте не проводится разграничения тендерных заявок, которые: Ядро 1, 2, 3 уровня DN300 и ниже нержавеющей стали
Поставка бесшовных трубопроводов калибров (включая атомный 1-й уровень и контролируемый азотный газ DN300, без ядерного 2-го и 3-го уровня DN300), включая закупки сырья и
Проверка, изготовление, испытания и испытания, транспортировка упаковки продукции и т.д., общая длина трубопровода составляет около 66 000 м, а общая масса - около 600 Т (в настоящее время только
для оценки количества).",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,,30.06.2024,,1,2,1
Чжэцзян,финансирование проекта CS LOT120C (консерваторы),CGN-20230303002,,Чайна Инжиниринг лимитед,,"Проект CS состоит из двух стационарных датчиков, пакетов
Закупка, изготовление, проверка, испытание, упаковка, документация, инструменты, запасные части (опционы), транспорт (опционы) и услуги (опционы)",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,,,,1,16,1
"округ Ваннань, провинция Чжэцзян",лифт и установка лифта,CGN-202303160016-N1,,Чайнаннан,,"10,246 га, общая площадь строительства около 10,246 га.
175 000 м2, из которых 121 000 м2 занимает земное помещение, 54 000 м2 - подземное помещение, высота здания не превышает
55 м. Основными подкомнатами являются башня 1#-9#, 1-этажное платье (включая ресторанную кухню и т.д.), 11-этажная / 12#-этажная комната (внутренний центр), подземная
Комнаты, террасы, мосты, залы и т.д.","1 #-9 # башня, 1 # юбка, 12#-этажное 39 вертикальных лифтов для проектирования, упаковки, изготовления, транспортировки (включая погрузку и разгрузку), складирования, локации
Модернизация, установка и перепрофилирование экспериментальных приемов, техническое обслуживание и техническое обслуживание в течение срока гарантии, подготовка кадров и другие соответствующие услуги. Конкретная сфера охвата и требования
В соответствии с положениями документа о маркировке.",,,20.02.2024,,0,26,0
Гуандун,"Проект LOT45K Быстрая загрузка проекта LF (номер тендера: CGN-20230223003) одобрена, средства проекта получены",CGN-20230223003,,,,"Закупка LF-проекта 3093
Установить и отладить необходимые специализированные инструменты, запасные части, расходные материалы и услуги на местах, профессиональную подготовку, упаковку и транспортировку, исполнение контракта
необходимые документы после доставки оборудования и т.д.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,1,,31.05.2025,,1,2,1
"Хэбэй, Чжан Сяо, округ Чжан",генеральный контракт EPC,CGN-20230608003,,"Хэбэй, Лебедь, Чайна, Чайна Сити, Ветряная станция",,"расположена в префектуре Чхэбэй (провинция Хэбэй) и находится во втором квартале (
50 МВт) и 9 МВт (50 МВт), в которых предлагается построить 10 МВт фотоаппарат, расположенный в ветру
В электростанции.
Электронный контракт на проектные работы, включая, но не ограничиваясь, все инженерное управление, проектирование и организационное рассмотрение в рамках генерального подряда
Закупки и поставки, строительство, установка, отладка и инспектирование, технические услуги, корректировка стоимости, перезагрузка, подключение к сети, работа с комплектом блоков
Начать работу по вводу в эксплуатацию и оказанию помощи в завершении разработки протоколов эксплуатационного контроля, до тех пор, пока не будут достигнуты результаты и не будет налажено плодотворное сотрудничество.",Подробная информация о конкретных потребностях содержится в технических документах.,"Запланировано начать работу 20 июля 2023 года, завершить все работы к 30 октября 2023 года с условиями доставки. Дата начала работы в тюрьме
В соответствии с приказом о начале работ подрядчик несет ответственность за полный погрузочный сбор до 20 ноября 2023 года.",20.07.2023 - 30.10.2023,20.07.2023,30.10.2023,2,4,1
"провинция Шаньси, Дамаск, округ","Генераторы проекта &lt; &lt; Сенсима &gt; &gt; , &lt; &lt; PC &gt; &gt; , &lt; &lt; Сенсима &gt; &gt; , &lt; &lt; Сен-сима &gt; &gt; , &lt; &lt; Сен-сима &gt; &gt; , &lt; &lt; , &gt; &gt; , &lt; &lt; Сен-сима &gt; &gt; , &lt; &lt; Сен-сима &gt; &gt; , &gt; , &gt; , &gt; утвержденный проект",CGN-202210120001,Объявление конкурса PC по трем ветроэнергетическим проектам,,,"30 МВт ветровой электроэнергетике в Си Цзиньпине и Мацзе Ляне в провинции Шаньси находится недалеко от селения Мацзы в префектуре Осака, район, в котором расположен район.
Он обозначен как E113°30'03.0922.30'~113°1337, N40°9'28.69'~40°'51.28, а площадь - 45km2. Проект ""
Предлагается установить 6 ветряных блоков мощностью 5,0 МВт, общая мощность которых не должна превышать 30 МВт, 6 коробок 35 кВ и 2 35 кВ электрической линии и подъемного давления.
Станция расширена на стороне 35kV; вспомогательные работы включают в себя в основном шесть установочных платформ для установки ветров. В целях сокращения длины 35 кВ ветряной электрической линии, 6 ветряных электростанций
Группа была разделена на два раза, а две линии подключались к мощным ветряным лифтовым станциям с двухместным прямым загрузкой.","В число участников конкурса входят проектное управление, закупки и поставки оборудования и материалов, строительство и установка, испытания
с проверкой, отладкой и инспектированием, устранением недостатков и передачей производства, обеспечением качества, предоставлением услуг по гарантии качества работ и т.д.",,,25.11.2022,30.12.2022,2,0,0
Гуанси,Проект BT LOT111B для фильтрации контейнеров для фильтров и перегрузки контейнеров с отходами (номер тендера: CGN-CGN) 20221108002),CGN-CGN) 20221108002),,,,"данный тендерный проект не делится на сегменты тендера: проект BT LOT11B с двумя фильтрами отработанного фильтра
Контейнерный погрузчик и один контейнер для перевозки отходов, включая конструкцию, документацию, оборудование, расходные материалы и специализированные устройства
Инструменты, упаковка, транспорт (без страхования) и услуги поддержки на местах; запасные части для SE, запасные части для SO и подготовка.","Сфера охвата и
Требование основывается на положениях тендерной документации.",,31.01.2026,,,1,17,1
Шэньчжэнь,кабелей для цифровой переработки,CGN-202207190012,,,,"Проект находится на атомной электростанции в Большом заливе на базе ядерной энергетики Большого Шэньчжэня. Трансфер Большого Азиатского залива контролирует цифровую трансформацию
Оборудование кабельного оборудования, используемое в основном в рамках проекта электрической модернизации GEW в заливе Гранд-Азия, для предоставления соответствующих функций в контрактных кабелях, закрытия
Требования к конструкции, производительности, установке и испытаниям.","Трансферизация маршрута через терминал в Большом заливе
Кабельные кабели, включающие вторичный контрольный кабель 4*2.5mm2, 8*2.5mm2, 14*2.5mm2,
4*6mm2, 6*6mm2, 4*10mm2, 4*1.5mm2, 7*1.5mm2, 12*1.5mm2, 12*1.5mm2, 19*1.5mm2, 2*6mm2, вторичные сигнальные кабели
2*(2*1.0)mm2, 3*(2*1.0) mm2, электрические кабели 2*4mm2, 2*6mm2, 2*10mm2 и т.д., а также производство, испытание,
Эксперимент, упаковка, перевозка, предоставление документов и услуг.",1,2022/12/30,,,2,18,1
Гуандун,Оборудование связи на предприятии по проекту морской ветроэнергетики в порту Кюсю,CGN-202212130003,,Чайна Инжиниринг лимитед,,"Общая информация о проекте строительства двух морских ветровых электростанций в порту Хиросимы, расположенном в морской акватории вблизи портового города Уидон, Уитчжун, Уитчжун
Вместимость - 450 МВт.","данный тендерный проект не разделен на 1 пункт, в котором речь идет о коммуникационном оборудовании. Конкретная модель торгов
Охват и требования регулируются тендерной документацией.",,20.03.2023,,,0,2,0
"Немонгольский автономный округ, город Ордос, Хан Цзинь",проект экологического восстановления,CGN-20221110002,Линфу плюс,Новая энергетическая компания Corp.,,"Проект представляет собой 200-мегаваттную программу Шанхайского храма Хан Цзиньцзяна, рассчитанную на 200 МВт. Местоположение расположено в автономном районе Неймонго
Город Эрдос, Хан Цзинь Флаг в городе Гутара, миллиардный новый энергетический индустриальный парк, недалеко от 5 км вдоль желтой дороги, примерно в 65 км от воротничка, У
Флаг Латта 50km, Баптист 130km, Ордос 180km, удобство транспорта. Строительство новой станции подъема давления 220 кВ
Станция подключается к 220-кислойной стороне 220-кислойной части новой линии 220-километровой станции, с 500-кислойной станцией в Хан Цзиньцзяне. Шанхая
Доступ к высоковольтным линейным проводам, которые в конечном итоге доставляются к электрической сети Шаньдуна. Фотовольтное поле отличается от стационарного фотоэлектрического кабеля и одноосного слежения
фотоэлектрической зоны. Стационарный флуоресцентный участок с двойной бозоной 535Wp с кристаллическим кремнием P, мощностью 179,9811 МВт
Включает 52 стационарных матрицы. 560Wp однокристаллический силиконовый двусторонний бозон N
Вместимость 20,9475 МВт, состоит из 6 последовательных ровных решеток.","Проект Шанхайского храма Хан Цзинь Флаг 200 МВт Водный пес площадью 7631,06 акров. Зеленая площадь не меньше 8179.04
Общая площадь проветриваемого песка в фотоэлектрической зоне составляет не менее 8097,63 акров.","Проект рассчитан на один год - с 30 декабря 2022 года по 30 декабря 2023 года. Время работы: 30 декабря 2022 года
Ранее - 30 марта 2023 года. Продолжительность выращивания с 2024 по 2025 год желательно с 1 марта по 30 июня.",365,30.12.2022,30.12.2023,0,27,0
провинция Шаньдун,атомная нержавеющая стальная труба малой калибровки,CGN-202303160014,Проект проекта SK LOT140Ca,Чайна инжиниринг лтд.,,"в данном тендерном проекте не проводится разграничения тендерных заявок, которые: Ядро 1, 2, 3 уровня DN300 и ниже нержавеющей стали
Бесшовные трубопроводы калибровки (включая ядерно-устойчивые трубы класса DN300, не содержащие нуклеарных труб уровня 2 и 3 уровня DN300), включая закупки и приемку сырья, производство
Производство, испытания и испытания, упаковка продукции и т.д., общая длина трубопровода составляет около 66 000 м, общая масса составляет около 625 Т (в настоящее время только оценочная цифра).
объем). Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,,31.10.2024,,1,0,1
"префектура Юньнань, чусуньский автономный округ, префектура Осаки",оборудование для выплаты компенсации за неустойчивость в 2022 году,CGN-20221208001,,Чусун,,"В 2022 году была произведена четвертая совместная закупка компенсационного оборудования, разделенная на две части.
Пункт 1: Оборудование для компенсационных выплат;
Второй этап: нецелесообразное компенсационное оборудование.
В рамках этого проекта был предоставлен первый участник конкурса, получивший общую оценку.","Оборудование для поставки включает динамическое отсутствие
Устройства для компенсационных выплат и их средства защиты (без шкафов с высоким давлением), запасные части, специализированные инструменты и приспособления для установки (установление вспомогательных компонентов)
щелчок, винтовок, винтовок и т.д. шкафы с высоким давлением были предоставлены покупателем, динамически неустойчиво компенсирующими устройствами для самоконтроля.
Оборудование запускает блоки через интегрированное оборудование для защиты контроля и защиты, расположенное в шкафах с высоким давлением (предоставлено изготовителем электрического второго оборудования)
защиты.",2,30,20.03.2023,15.04.2023,0,20,0
Гуандун,Проект PY01 с комплектом проектного оборудования для освещения LOT82,CGN-202211110002,,,,"Проект PY01 &lt; &lt; Оборудование для освещения LOT82 &gt; &gt;
Контент и сфера охвата: данный тендерный проект разделен на 1 секцию, которая включает в себя: завод в рамках проекта PY01
Оборудование для осветления районов, а также обычные осветительные приборы в зданиях и регионах и оборудование для аварийного освещения, а также проектирование, изготовление, поставка, упаковка соответствующего оборудования
Сбор, транспортировка и соответствующие документы и услуги.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,28.02.2023,,,1,2,1
Гуандун,Проект AD LOT110,CGN-20230213003,Конференция тендеров: CGN-20230213003,,,"данный тендерный проект не делится на сегменты тендера, которые будут включать в себя элементы кольцевого оборудования для реактора AD и
Конструкция, документация, оборудование и запасные части, расходные материалы, специализированные инструменты, упаковка, услуги полевой поддержки, подготовка и т.д.",Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.,,,,31.01.2026,1,2,1
Гуандун; город Уичжоу; округ Уидон,инструментарий для технического обслуживания проекта (электрический инструмент измерения),CGN-202211010004,,Гуанчжоу энтерпрайз лимитед,,"В рамках проекта China Hydong Co. планирует построить 6 атомных энергоблоков в миллионах кВт, использующих технологию ядерной энергетики трех поколений (включая
В одном из этапов строительства было построено 2 объекта, расположенного в городе Хуанцзюнь, округ Уидун, округ Уйдун.","Технические инструкции по закупкам в рамках проекта. Приборное оборудование, закупленное в рамках проекта, включает следующие компоненты:
Количество единиц, указанных в инструменте серийного номера
1 Комплексный набор датчиков 2 требует проверки третьей стороной
2 видеозаписателя (с приложениями) комплект 8 требует проверки третьей стороной
3 реле 12 требует проверки третьей стороной
4 комбинированная автоматизированная система 2 требует проверки третьей стороной
Инспекции
5 фотомощных наборов 2 требуют проверки третьей стороной
6 световых комплектов 2 требуют проверки третьей стороной
7 Устройство 1 для проверки третьей стороной
8-разрядный набор 2 требует проверки третьей стороной
9 серия индикатор 2 требует проверки третьей стороной
Тестирование на ручном пуске
10 комплектов 8, которые должны быть проверены третьей стороной
прибора
11 Изоляционный блок 10 требует проверки третьей стороной
Тестирование механических свойств
12 комплектов 4 требуют проверки третьей стороной
прибора
13 датчиков электрической емкости 2 требуют проверки третьей стороной
14 многофункциональных тестовых комплектов 4 требуют проверки третьей стороной
15-дюймовый короткий кабель 6 не требует проверки третьей стороной
16 Три фазовых датчика защиты 1 требуют проверки третьей стороной
17 однофазных датчиков защиты 10 требуют проверки третьей стороной
18 Быстрый поисковик 5 требует проверки третьей стороной
19 Устройства для индукционной резистентности 2 требуют проверки третьей стороной
20 Оборудование 2 для проверки соответствия требованиям третьей стороны
Ретранслятор SF6
21 комплект 3 требует проверки третьей стороной
прибора
22SF6 Газовая шкала давления 2 для проверки соответствия третьей стороной
23SF6 для газового фильтра 3 требуется проверка третьей стороны
24SF6 для газовых профилей 3 требуется проверка третьей стороны
Генераторы
25 комплектов 2 требуют проверки третьей стороной
прибора",1,,,,0,29,0
"Чунцин, Чунцин, Китай",Рамочное оборудование для проекта Ветряная башня в рамках проекта Чунцин,CGN-202302210002-N1,,,,Закупка ветряной башни в рамках проекта &lt; &lt; Сухопутная энергетика &gt; &gt; в районе Чунцина.,"котировки в виде единой сухой цены на башни с различными спецификациями, а в 120 метрах - 120-метровой башни усиленного типа.
Оценочные цены соблюдаются в течение двух лет с момента подписания рамочного соглашения. Общая валовая стоимость включает налоги, сборы за помещение, питомники
Плата, расходы на капитальные работы, расходы на строительство башни и сопутствующее оборудование, транспортные расходы, расходы на установку, услуги по восстановлению башни, услуги по демонтажу башни и т.д.
Потребности в связи с созданием ветряной башни.","Ожидается, что в 120 метрах будет закуплено 20 башней, которые будут впоследствии скорректированы с учетом фактических обстоятельств проекта.",апрель 2023 года - апрель 2024 года,апрель 2023 года,апрель 2024 года,2,16,0
Ляонин; Далянь; Вау,интеллектуальный крейсер,CGN-202303160013,Красная река,Ляонин,,"Проект: Закупка интеллектуального крейсера для CRF компании &lt; &lt; Красная река &gt; &gt;
Содержание и сфера охвата тендера: данный тендерный проект разделен на 1 пункт, который гласит: Интеллектуальный крейсер CRF
Вставить.
Участники торгов должны предоставить интеллектуальную систему CRF-сканирования насосной группы, которая будет оснащена шестью блоками (например, аудио- и видеохранилище).
Устройства, серверы, исходный код для круизной системы, конфигурация программного обеспечения для круизной системы и т.д.) должны работать одновременно с шестью блоками. Прокуратура
Все они должны иметь доступ к сети третьего сектора красной вдоль реки, сохраняя расширенную функцию для последующего расширения доступа к новым устройствам. Интеллектуальная система проверки
Аппаратное и программное обеспечение включает, но не ограничивается: интеллектуальные крейсерские системы, камеры, алгоритмические серверы, соответствующие сети / кабели и т.д. сегодня
Реконструкция только блока 1 и 2 требует от участников торгов наличия двух аппаратных средств, необходимых для модификации блока. Проект представляет собой интеллектуальный крейсер CRF-компаний Red Cross
Закупка оборудования.","Основные функции системы интеллектуального круизного обзора включают, но не ограничиваются ими: Умный крейсер в режиме онлайн в соответствии с установленной стратегией костного контроля, управление полетом, диаграмма
Анализ распознавания (число устройства, распознавание состояния), оповещение в режиме реального времени, исторические данные, конфигурация порога сигнализации (система поддерживает каждый мониторинг)
Пороговая конфигурация точек, автоматическое получение инструкций по проведению инспекций, планирование маршрутов, взаимодействие данных и т.д., обеспечение круглосуточного дежурства, безопасности, эффективности и своевременности.
Инспекции и могут автоматически генерировать отчеты об инспекциях (которые могут быть сохранены для локального просмотра или экспорта). Эксплуатационные миссии для оказания немедленной и своевременной поддержки
3 способа осуществления цикла.",,30.06.2023,,,0,6,1
провинция Шаньдун,фильтры и терминалы ECS фильтры,CGN-202306007,Проект SK LOT130Fa CFI фильтры и терминалы ECS фильтры (запрос No: CGN-202306007),Чайна инжиниринг лтд.,,"проект SK.
LOT130Fa CFI фильтры и терминалы ECS","в данном тендерном проекте не проводится разграничения тендерных заявок, которые: Эта закупка
фильтров (всего 8)
- специализированные инструменты, запасные части, расходные материалы, документация, упаковка, транспорт, услуги технической поддержки на местах и подготовка. Конкретный прием
Рамки и требования устанавливаются в тендерной документации. Степень безопасности фильтров составляет RCC-M3, уровень безопасности - SC-3.",,,30.04.2026,,0,0,1
"атомная электростанция Нинде, муниципалитет Фукуяма, провинция Фуцзянь",проект модернизации строительного крышка в Нинде в 2023 году,CGN-202304250007,Объявление тендера на проект модернизации строительного крышка в Нинде в 2023 году (Контингент: CGN-202304250007),Чайна Хинэ,,"В соответствии с настоящими техническими спецификациями и соответствующими действующими нормами государственного марка, сторона B должна завершить строительство 6,2 метра на заводе Nintendo 3 и 4MX.
Работы по ремонту фасадов, пошиву стенок трубного стенда на заводе MX, модификации легких огнезащитных панелей на заводе LX и DX, а также соответствующие вспомогательные меры.","Проект был преобразован в 6,2-метровую крышу на заводе 3 и 4MX; 2) площадку на заводе MX; 3) LX,
Легкие пожарные панели на заводе DX. Измерение, проектирование, изготовление и установка B; 6,2-метровая крышка на заводе 3 и 4MX
Это приводит к быстрому открытию панелей в провинциальной безопасности, закрывающим крышу, автоматически образующим заграждение при открытии, без необходимости установки временного ограждения.",6 месяцев после подписания контракта,6 месяцев после подписания контракта,,,3,12,0
Цзяннань,"Проект CS проекта 3, 4, LOT130Aa, первая партия сборных контейнеров для ядерного острова (по пункту 2 (группа 4): Контейнер (21 единица) (номер тендерной заявки: CGN-20230213005)",CGN-20230213005,,Чайна Инжиниринг лимитед,,блок 3 и 4 проекта CS,"данный тендерный проект разделен на два сегмента, которые включают: CS-проекты 3, 4 LOT130Aa
Всего было захоронено 42 контейнера. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",2,28.02.2024,,,1,16,1
Гуандун,Проект LOT101DD (перезагрузка),CGN-20220926006-N1,,Чайна Хинонжиниринг лимитед,,"данный тендерный проект не делится на сегменты тендера, которые заключаются в закупке и испытании сырья, замещенного на привязку к макету
Получение, изготовление, испытания и проверка, упаковка продукции; связанные с этим виды стыковок включают изогнутые головы, головы, тройки, трубы и комбинации
Первоначальные; материалы SS316L, Z2CND17.12; спецификации 1/4 ""-4"" и примерно 15 000 единиц.",,,30.09.2024,,,1,2,1
